Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Henrik Stenson,60.0,75.19,291.5,73.51,29.93,60.67,69.617,868,0,5,-0.207,1.153,0.4270000000000001,0.96,-0.027000000000000003,2680487.0
Ryan Armour,109.0,73.58,283.5,68.22,29.31,60.13,70.758,1006,1,3,-0.058,0.337,-0.012,0.213,0.194,2485203.0
Chez Reavie,93.0,72.24,286.5,68.67,29.12,62.27,70.432,1020,0,3,0.192,0.674,0.183,0.4370000000000001,-0.13699999999999998,2700018.0
Ryan Moore,78.0,71.94,289.2,68.8,29.17,64.16,70.015,795,0,5,-0.271,0.941,0.406,0.532,0.273,1986608.0
Brian Stuard,103.0,71.44,278.9,67.12,29.11,59.23,71.038,421,0,3,0.16399999999999998,0.062,-0.227,0.099,0.026,1089763.0
Brian Gay,103.0,71.37,282.9,64.52,28.25,63.26,70.28,880,0,6,0.442,0.565,-0.166,0.036000000000000004,0.253,2152501.0
Kyle Stanley,93.0,71.29,295.7,71.09,29.89,54.8,70.404,1198,0,5,0.037000000000000005,0.6859999999999999,0.378,0.298,-0.027000000000000003,3916001.0
Emiliano Grillo,94.0,70.16,295.2,68.84,29.04,61.05,70.152,901,0,5,0.546,1.133,0.364,0.345,-0.122,2493163.0
Russell Henley,77.0,70.03,293.0,68.77,29.8,54.33,70.48899999999998,569,0,3,0.16699999999999998,0.541,0.093,0.467,-0.18600000000000005,1516438.0
Jim Furyk,50.0,69.91,280.5,63.19,28.73,62.58,70.342,291,0,2,0.389,0.412,-0.392,0.179,0.235,660010.0
Steve Wheatcroft,60.0,69.79,288.9,66.57,29.29,61.03,71.631,138,0,1,-0.128,-0.339,0.112,-0.065,-0.258,309656.0
Kevin Streelman,94.0,69.11,295.1,71.56,29.67,60.93,70.436,673,0,5,-0.25,0.619,0.439,0.415,0.014,1523642.0
C.T. Pan,104.0,68.98,292.7,71.2,29.66,56.89,70.457,693,0,1,-0.067,0.478,0.215,0.267,0.063,1881787.0
David Lingmerth,82.0,68.93,285.4,63.03,28.5,58.57,71.043,274,0,0,0.229,-0.006999999999999999,0.006,-0.16,-0.081,616758.0
Keegan Bradley,98.0,67.9,299.6,69.18,29.68,56.78,70.303,872,0,4,-0.358,0.7929999999999999,0.237,0.888,0.026,4069464.0
Rafa Cabrera Bello,75.0,67.85,295.1,70.16,29.47,57.98,69.887,784,0,4,0.273,1.112,0.256,0.487,0.096,2449869.0
Billy Horschel,86.0,67.8,295.4,71.75,29.46,58.03,70.154,960,1,3,0.392,1.112,0.5379999999999999,0.35200000000000004,-0.16899999999999998,4315200.0
Russell Knox,94.0,67.7,291.7,69.57,29.7,59.43,70.568,585,0,3,-0.08800000000000001,0.383,0.059,0.263,0.149,1424030.0
Ben Crane,65.0,67.52,281.1,64.88,28.69,63.0,71.097,267,0,1,0.332,0.17600000000000002,-0.302,-0.038,0.184,620646.0
Vaughn Taylor,83.0,67.51,286.1,67.02,29.15,59.91,70.692,445,0,3,-0.08,0.219,-0.005,0.305,-0.002,965691.0
Brian Harman,94.0,67.14,291.9,67.59,29.29,56.95,70.536,1056,0,8,0.273,0.29,0.13699999999999998,-0.024,-0.096,2733463.0
Sam Ryder,82.0,66.91,297.3,72.08,29.88,56.47,70.914,442,0,3,-0.349,0.154,0.203,0.399,-0.099,1046166.0
"Ted Potter, Jr.",87.0,66.83,286.0,63.03,28.45,57.51,71.024,744,1,1,0.07400000000000001,-0.094,-0.07400000000000001,-0.2,0.105,1976198.0
Austin Cook,107.0,66.76,292.3,66.51,28.72,62.02,70.469,1060,1,3,0.315,0.569,0.12,-0.045,0.179,2448920.0
Tyler Duncan,97.0,66.74,294.4,69.65,30.19,52.76,71.04,457,0,2,-0.5660000000000001,0.017,0.273,0.476,-0.166,944021.0
David Hearn,66.0,66.63,285.1,68.89,29.58,55.65,71.325,315,0,2,-0.127,-0.031,-0.17,0.379,-0.113,622383.0
Alex Cejka,77.0,66.49,286.7,63.77,28.52,64.0,70.675,502,0,2,0.009000000000000001,0.312,-0.024,-0.16899999999999998,0.495,1198541.0
Ian Poulter,73.0,66.41,293.6,67.01,28.97,57.11,70.593,1030,1,4,0.223,0.85,0.141,0.435,0.051,2714450.0
Joel Dahmen,93.0,66.36,295.8,68.82,29.26,63.31,70.578,676,0,3,-0.277,0.4,0.3,0.381,-0.004,1476838.0
Kevin Kisner,89.0,66.33,290.8,65.38,28.91,60.29,70.729,971,0,4,0.513,0.037000000000000005,-0.043,-0.316,-0.118,2972285.0
J.J. Henry,81.0,66.22,291.8,70.52,30.37,54.77,71.372,239,0,1,-0.569,-0.193,0.174,0.34,-0.138,482052.0
J.J. Spaun,85.0,66.18,298.2,69.48,29.63,55.76,70.525,849,0,4,-0.149,0.292,0.28600000000000003,0.41,-0.255,1978906.0
Justin Rose,70.0,66.02,303.5,69.95,28.67,63.03,68.993,1991,2,8,0.424,1.952,0.551,0.526,0.45,8130678.0
Kelly Kraft,94.0,65.84,288.6,63.83,28.92,58.93,71.333,627,0,3,0.075,-0.32,-0.28600000000000003,0.017,-0.126,1496253.0
Conrad Shindler,60.0,65.77,291.3,66.27,29.14,60.0,71.465,92,0,0,-0.166,-0.313,0.114,-0.008,-0.252,187399.0
Scott Piercy,84.0,65.68,296.6,69.72,29.86,55.96,70.736,802,1,2,-0.569,0.29,0.209,0.5529999999999999,0.097,1882337.0
Adam Hadwin,92.0,65.6,289.4,68.04,29.26,58.59,70.75,638,0,3,0.106,0.596,0.057,0.166,0.267,1932488.0
Ben Silverman,90.0,65.56,290.2,64.95,28.74,57.36,71.281,323,0,2,0.238,-0.206,0.069,-0.385,-0.128,793140.0
Satoshi Kodaira,51.0,65.53,293.6,60.3,29.88,51.02,72.182,600,1,1,-0.645,-1.832,0.027000000000000003,-0.284,-0.93,1471462.0
Rickie Fowler,74.0,65.33,299.8,69.52,28.99,63.05,69.435,1302,0,4,0.29600000000000004,1.275,0.244,0.494,0.242,4235237.0
Xinjun Zhang,81.0,65.33,298.7,67.04,29.67,58.2,71.486,195,0,1,-0.4370000000000001,-0.7340000000000001,0.139,-0.254,-0.182,420377.0
Pat Perez,82.0,65.09,290.9,67.78,29.29,55.63,70.594,1116,1,4,0.115,-0.048,-0.063,-0.138,0.037000000000000005,2962641.0
Lucas Glover,65.0,65.06,297.7,67.12,29.64,59.83,71.066,324,0,1,-0.18600000000000005,0.276,0.514,-0.043,-0.008,789382.0
Richy Werenski,98.0,65.06,291.8,66.97,29.36,56.49,71.185,498,0,2,-0.109,-0.124,0.077,-0.16899999999999998,0.077,1081283.0
Hunter Mahan,67.0,65.04,296.9,68.96,29.02,58.81,71.135,234,0,1,0.34600000000000003,0.209,0.465,-0.149,-0.453,457337.0
Francesco Molinari,73.0,65.04,301.0,70.24,29.63,58.67,69.797,1682,2,4,-0.487,1.123,0.69,0.593,0.327,5065842.0
Fabián Gómez,88.0,64.99,291.1,67.86,29.38,58.85,71.02,221,0,0,0.001,-0.106,-0.062,-0.015,-0.03,437032.0
Tommy Fleetwood,73.0,64.98,306.9,69.36,29.3,55.77,69.342,1130,0,5,0.324,1.606,0.58,0.405,0.29600000000000004,3935147.0
Graeme McDowell,67.0,64.92,293.2,64.5,29.2,59.95,71.001,274,0,1,0.478,0.6970000000000001,0.124,0.046,0.049,581024.0
Louis Oosthuizen,62.0,64.81,299.8,65.74,29.24,64.26,70.157,620,0,3,-0.026,0.521,0.401,-0.261,0.408,1731493.0
Chad Campbell,87.0,64.7,286.5,65.54,29.75,59.39,71.683,361,0,2,-0.454,-0.484,-0.042,-0.01,0.023,801960.0
Blayne Barber,69.0,64.67,294.7,69.98,29.66,57.46,70.835,202,0,0,-0.022,-0.041,0.101,-0.047,-0.073,398137.0
Michael Thompson,62.0,64.66,296.4,70.11,29.62,55.77,70.92399999999998,280,0,0,0.498,0.052000000000000005,-0.073,-0.423,0.05,563972.0
Chris Kirk,108.0,64.64,289.8,68.24,28.9,63.53,70.411,756,0,4,0.073,0.732,-0.048,0.518,0.19,1824111.0
Daniel Berger,81.0,64.58,297.7,66.89,29.42,58.94,70.32,565,0,1,0.319,0.816,0.1,0.5429999999999999,-0.145,1721763.0
Hudson Swafford,73.0,64.57,302.8,68.99,30.03,54.01,71.619,245,0,0,-0.26,-0.4920000000000001,0.225,-0.237,-0.221,569391.0
Bronson Burgoon,69.0,64.53,302.8,68.44,29.55,55.61,70.70100000000002,446,0,2,0.107,0.481,0.309,0.371,-0.307,1179616.0
Brice Garnett,99.0,64.45,296.7,66.78,29.34,58.63,71.018,634,1,2,-0.076,-0.31,0.188,-0.14400000000000002,-0.278,1466224.0
Ryan Blaum,81.0,64.31,289.0,66.1,29.13,55.46,70.993,433,0,2,0.025,-0.033,0.011,-0.07400000000000001,0.005,980877.0
Johnson Wagner,75.0,64.25,286.1,67.87,28.65,65.41,70.758,338,0,0,0.623,0.715,-0.213,0.078,0.226,656322.0
Kevin Na,91.0,64.13,289.6,64.66,28.07,63.62,70.288,1183,1,4,0.5329999999999999,0.8009999999999999,-0.378,0.273,0.373,3578316.0
Zach Johnson,94.0,63.88,289.8,67.43,28.62,62.35,69.911,839,0,2,0.206,1.035,-0.059,0.463,0.425,1957635.0
John Huh,94.0,63.83,287.1,65.8,28.82,57.94,70.718,480,0,2,0.16699999999999998,0.251,-0.11,0.24,-0.047,974538.0
James Hahn,85.0,63.73,298.7,68.29,29.5,59.62,70.896,596,0,1,-0.152,0.279,0.32299999999999995,0.081,0.028,1386301.0
Rod Pampling,62.0,63.69,288.4,62.64,29.31,56.67,72.445,64,0,0,-0.421,-1.094,-0.095,-0.415,-0.163,183806.0
Gary Woodland,96.0,63.69,313.5,70.51,29.93,54.45,70.161,1044,1,3,0.006999999999999999,1.0659999999999998,0.8029999999999999,0.484,-0.228,3108907.0
Cameron Percy,56.0,63.66,295.6,69.56,29.36,57.3,70.90899999999998,191,0,2,-0.205,0.285,0.241,0.039,0.21,387612.0
Abraham Ancer,98.0,63.64,296.1,66.49,28.91,62.69,70.65899999999998,589,0,4,-0.056,0.32,0.325,0.07400000000000001,-0.022,1676695.0
Ben Martin,64.0,63.52,289.6,63.98,28.58,58.8,70.97399999999998,266,0,1,0.118,-0.001,-0.142,0.119,-0.096,532936.0
Branden Grace,67.0,63.49,298.9,67.1,29.34,57.78,70.41199999999998,590,0,2,0.35,0.812,0.163,0.174,0.125,1529289.0
Denny McCarthy,71.0,63.45,295.4,68.17,29.41,59.83,70.861,267,0,1,0.449,0.094,0.011,-0.34700000000000003,-0.019,498341.0
Aaron Wise,90.0,63.33,302.9,68.81,29.15,56.28,70.247,1086,1,3,0.238,0.703,0.41,0.012,0.042,3486407.0
Jason Dufner,71.0,63.3,297.1,64.24,29.58,58.25,71.32300000000002,557,0,2,-0.058,0.011,0.256,-0.009000000000000001,-0.17800000000000002,1497655.0
Matt Kuchar,88.0,63.27,288.0,66.81,28.85,63.6,70.461,679,0,4,0.348,0.5760000000000001,-0.199,0.21600000000000005,0.211,1720097.0
Martin Laird,73.0,63.22,299.0,65.9,28.83,59.15,70.839,443,0,3,0.282,0.47,-0.045,0.024,0.209,1017580.0
Roberto Díaz,72.0,63.2,286.3,63.73,29.21,58.56,71.73100000000002,107,0,0,0.168,-0.833,-0.165,-0.6,-0.237,235635.0
Paul Casey,74.0,63.14,304.3,67.84,29.07,60.58,69.85,1319,1,5,0.133,0.966,0.138,0.586,0.109,3641771.0
Corey Conners,97.0,62.99,303.3,70.19,29.84,57.52,70.743,353,0,1,-0.385,0.193,0.501,0.275,-0.198,728296.0
Kyle Thompson,50.0,62.99,285.3,62.44,29.61,54.02,72.673,10,0,0,-0.75,-1.262,-0.534,0.036000000000000004,-0.014,24878.0
Troy Merritt,89.0,62.93,295.4,65.16,28.74,57.6,70.888,616,1,3,0.077,0.209,0.138,0.086,-0.092,1326989.0
Andrew Landry,82.0,62.92,291.1,65.63,28.96,56.97,71.059,1116,1,5,-0.01,-0.039,0.206,-0.083,-0.152,2642179.0
Hideki Matsuyama,75.0,62.82,302.0,69.29,29.21,60.8,70.02199999999999,607,0,2,0.132,1.196,0.194,0.727,0.14300000000000002,2687477.0
Brandt Snedeker,84.0,62.79,293.1,65.04,28.63,60.08,70.37899999999998,1077,1,4,0.478,0.625,-0.145,-0.026,0.318,2448970.0
Zac Blair,64.0,62.76,279.5,66.48,28.97,61.43,71.215,176,0,0,0.203,0.32299999999999995,-0.345,0.07200000000000001,0.394,330507.0
Danny Lee,88.0,62.65,290.6,65.05,28.56,60.81,71.196,481,0,3,0.156,0.058,0.005,-0.155,0.051,1269386.0
Charles Howell III,104.0,62.59,300.9,69.33,29.5,60.87,70.219,885,0,4,0.219,0.8009999999999999,0.324,0.163,0.095,2179725.0
Adam Scott,78.0,62.51,304.6,70.66,30.15,54.85,70.42,623,0,2,-0.285,0.779,0.3,0.639,0.125,2237641.0
Tom Hoge,101.0,62.43,291.4,63.62,28.45,61.41,70.945,594,0,3,-0.162,0.07400000000000001,0.018000000000000002,0.297,-0.079,1358542.0
Webb Simpson,95.0,62.34,293.7,67.93,28.47,66.1,69.293,1710,1,7,0.6920000000000001,1.432,-0.116,0.486,0.37,5376417.0
Chris Stroud,81.0,62.24,289.8,62.94,28.78,59.96,71.628,255,0,1,0.053,-0.338,-0.277,-0.056,-0.058,565466.0
Bryson DeChambeau,93.0,62.23,305.7,69.65,29.18,59.84,69.646,1617,1,7,0.34600000000000003,1.558,0.586,0.556,0.07,8094489.0
Jonathan Randolph,71.0,62.18,289.4,60.43,28.63,59.83,71.945,166,0,1,0.115,-0.877,-0.271,-0.5379999999999999,-0.182,453328.0
Rory Sabbatini,91.0,62.05,292.3,67.85,29.07,61.36,70.693,521,0,1,0.059,0.358,0.217,-0.152,0.234,1126057.0
Scott Brown,102.0,62.03,292.6,65.65,29.1,54.79,71.329,422,0,2,0.049,-0.6609999999999999,-0.265,-0.27,-0.175,1076678.0
Tyrrell Hatton,58.0,61.84,298.8,66.46,29.2,62.58,70.09100000000001,550,0,4,0.335,0.938,0.14800000000000002,0.202,0.252,1943360.0
Alex Noren,67.0,61.73,299.2,64.91,28.97,61.74,69.973,989,0,3,0.758,1.044,0.208,0.107,-0.029,2699150.0
Patrick Cantlay,87.0,61.58,303.1,70.69,29.8,57.58,69.899,1388,1,6,-0.182,1.096,0.622,0.509,0.146,3963962.0
Jordan Spieth,81.0,61.55,299.8,70.47,29.09,61.63,69.904,945,0,5,-0.034,0.83,0.271,0.409,0.184,2793536.0
J.T. Poston,73.0,61.53,300.7,68.31,29.07,57.53,70.915,448,0,2,0.135,0.138,0.381,-0.373,-0.005,940661.0
Kevin Chappell,77.0,61.27,308.6,66.52,29.64,56.28,70.839,597,0,4,-0.344,0.32299999999999995,0.608,0.29600000000000004,-0.236,1608338.0
Shane Lowry,64.0,61.2,300.7,68.65,30.04,53.48,70.75399999999998,296,0,0,-0.28600000000000003,0.238,0.331,0.245,-0.052000000000000005,696897.0
Patrick Rodgers,97.0,61.14,303.5,65.65,29.1,57.22,70.73100000000002,541,0,3,0.561,0.232,-0.039,-0.32299999999999995,0.034,1287040.0
Whee Kim,93.0,61.11,285.8,63.55,28.7,58.56,71.477,764,0,3,0.4270000000000001,-0.4370000000000001,-0.748,0.03,-0.146,1920340.0
Nick Taylor,94.0,60.94,292.7,67.65,29.48,61.83,71.26899999999998,420,0,2,-0.312,-0.235,0.049,0.011,0.017,899373.0
Bud Cauley,55.0,60.81,295.4,64.26,28.58,60.12,71.35600000000002,405,0,2,0.3670000000000001,0.461,-0.113,-0.032,0.239,900591.0
Si Woo Kim,108.0,60.68,290.8,63.78,29.0,57.23,71.367,893,0,5,-0.168,-0.092,-0.014,-0.2,0.29100000000000004,2276114.0
Nate Lashley,51.0,60.58,293.9,68.2,29.32,60.59,70.999,168,0,0,0.08199999999999999,0.31,0.111,0.036000000000000004,0.08,296650.0
Beau Hossler,104.0,60.47,300.0,67.95,28.92,60.0,70.574,957,0,5,0.685,0.584,0.281,-0.395,0.013,2449707.0
D.A. Points,63.0,60.47,280.8,60.2,29.1,53.32,73.01899999999998,162,0,1,0.11,-1.449,-1.069,-0.541,0.051,377265.0
Brendan Steele,74.0,60.47,310.3,69.24,30.36,52.56,71.021,998,1,3,-0.5760000000000001,0.029,0.557,0.243,-0.195,2291128.0
Nicholas Lindheim,77.0,60.44,293.5,68.04,29.25,53.9,71.344,272,0,1,0.355,-0.32299999999999995,-0.258,-0.368,-0.052000000000000005,593842.0
Andrew Putnam,97.0,60.42,293.8,70.47,29.36,61.52,70.579,1026,1,5,0.052000000000000005,0.472,-0.146,0.38,0.187,2387382.0
Jonas Blixt,67.0,60.3,293.1,62.02,29.1,56.83,72.134,167,0,0,0.244,-0.547,-0.424,-0.563,0.196,368518.0
Ethan Tracy,72.0,60.25,299.0,64.87,29.44,54.88,72.038,157,0,0,-0.026,-0.813,-0.054000000000000006,-0.424,-0.309,364493.0
Byeong Hun An,86.0,60.19,307.9,67.99,29.31,61.16,70.19,913,0,4,-0.285,0.805,0.475,0.448,0.16699999999999998,2599264.0
Marc Leishman,93.0,60.17,298.5,66.67,28.94,59.07,70.26,1148,0,6,0.126,0.624,-0.006,0.211,0.292,3771221.0
Sam Saunders,80.0,60.14,302.8,65.02,28.73,55.79,70.794,420,0,4,0.094,0.226,0.35,-0.081,-0.138,981936.0
Anirban Lahiri,82.0,60.09,294.0,64.7,28.99,58.35,70.66,555,0,4,0.199,0.104,0.07,-0.285,0.12,1441205.0
Sean O'Hair,67.0,60.09,302.7,63.84,28.97,57.56,71.479,417,0,2,-0.207,-0.233,0.211,-0.073,-0.16399999999999998,1104865.0
Chesson Hadley,103.0,60.07,300.0,67.68,28.99,56.6,70.311,1122,0,7,0.208,0.8590000000000001,0.146,0.606,-0.102,2768863.0
Mackenzie Hughes,80.0,60.04,294.9,66.01,29.37,54.19,71.282,227,0,1,-0.177,-0.014,-0.068,0.353,-0.122,518476.0
William McGirt,84.0,59.89,289.3,67.59,29.28,62.86,70.791,449,0,3,0.2,0.17800000000000002,-0.306,0.091,0.194,933327.0
Xander Schauffele,96.0,59.77,304.9,65.59,29.18,57.81,70.486,1081,0,5,0.196,0.644,0.24,0.235,-0.027000000000000003,4047538.0
Dustin Johnson,77.0,59.46,314.0,70.57,28.47,62.5,68.69800000000001,2717,3,10,0.385,2.372,0.919,0.8290000000000001,0.238,8457352.0
Matt Jones,70.0,59.38,304.5,66.49,29.02,60.16,71.112,264,0,0,-0.034,0.104,0.333,-0.386,0.192,538681.0
Tiger Woods,68.0,59.35,303.6,67.4,28.49,64.16,69.35,1162,0,5,0.266,1.596,0.061,0.883,0.385,5443841.0
Billy Hurley III,70.0,59.24,284.0,63.02,29.09,54.93,71.715,73,0,0,0.025,-0.7020000000000001,-0.696,-0.17,0.139,145725.0
Jon Rahm,71.0,59.2,308.9,70.12,29.14,57.18,69.958,1430,1,5,-0.151,0.889,0.8170000000000001,0.047,0.17600000000000002,3992678.0
Ryan Palmer,69.0,59.11,305.2,65.61,28.92,55.38,71.031,500,0,2,-0.528,-0.231,0.235,0.236,-0.174,1484445.0
Harold Varner III,91.0,59.02,308.2,67.79,29.56,58.14,70.971,474,0,3,-0.024,0.125,0.204,-0.076,0.021,1223064.0
Harris English,84.0,58.99,302.4,63.32,28.76,57.86,71.16199999999998,383,0,2,0.222,-0.184,-0.219,-0.297,0.111,799450.0
Greg Chalmers,56.0,58.9,282.8,56.94,28.31,52.85,72.531,133,0,1,0.79,-1.266,-0.69,-1.192,-0.174,288023.0
Stephan Jaeger,81.0,58.76,299.2,67.11,29.61,56.76,71.35600000000002,211,0,0,-0.14400000000000002,-0.09,0.045,-0.166,0.175,422260.0
Jonathan Byrd,70.0,58.59,291.7,68.19,29.5,58.31,71.398,147,0,0,-0.106,-0.266,-0.542,0.043,0.339,267055.0
Keith Mitchell,99.0,58.59,312.6,69.42,29.65,56.55,70.92,659,0,4,-0.504,-0.018000000000000002,0.706,-0.128,-0.092,1641260.0
Martin Piller,79.0,58.51,292.2,60.39,28.52,57.74,71.929,371,0,2,0.119,-1.127,-0.248,-0.8109999999999999,-0.18600000000000005,847304.0
Justin Thomas,91.0,58.41,311.8,68.77,28.33,62.47,69.118,2634,3,8,0.272,1.835,0.408,0.8440000000000001,0.311,8694821.0
Brett Stegmaier,67.0,58.38,295.4,70.31,29.48,56.44,71.191,149,0,0,0.401,0.048,-0.135,0.078,-0.29600000000000004,305607.0
Charley Hoffman,87.0,58.34,299.5,66.53,29.19,56.22,70.521,515,0,0,0.026,0.425,0.254,0.21600000000000005,-0.071,1400637.0
Jason Day,75.0,58.32,310.0,65.28,28.24,62.35,69.60300000000001,1771,2,5,0.77,1.285,0.17600000000000002,-0.14,0.479,5087461.0
Bubba Watson,90.0,58.27,313.1,68.21,29.33,56.64,70.384,1879,3,5,0.001,0.555,0.78,0.005,-0.231,5793748.0
Jason Kokrak,99.0,58.06,309.5,70.37,29.59,55.11,70.444,700,0,4,0.022,0.539,0.36,0.257,-0.101,1794431.0
Jhonattan Vegas,92.0,57.91,303.6,65.17,29.43,58.6,71.275,394,0,1,-0.059,0.03,0.294,-0.081,-0.124,1137444.0
Adam Schenk,86.0,57.67,305.5,67.92,29.95,54.55,71.37,239,0,1,0.13,-0.15,0.073,-0.262,-0.091,474923.0
Stewart Cink,87.0,57.6,298.1,68.58,29.53,55.69,70.44,758,0,3,-0.345,0.465,0.057,0.698,0.055,1887208.0
Matt Atkins,56.0,57.5,301.4,63.46,29.12,57.6,72.251,44,0,0,-0.198,-1.129,0.134,-1.039,-0.027000000000000003,89104.0
Talor Gooch,78.0,57.31,298.9,63.58,28.94,59.53,71.149,308,0,0,0.031,-0.163,-0.322,0.075,0.053,654200.0
Bill Haas,76.0,57.27,296.2,64.79,29.23,60.34,71.028,262,0,1,-0.059,0.079,-0.177,-0.052000000000000005,0.368,638414.0
J.B. Holmes,77.0,57.13,306.1,65.26,29.01,57.14,70.789,640,0,3,-0.207,0.5489999999999999,0.565,0.159,0.032,1595942.0
Cameron Smith,85.0,57.03,298.4,63.18,28.36,61.12,70.517,821,0,5,0.115,0.219,-0.14800000000000002,0.034,0.218,3622607.0
Tyrone Van Aswegen,101.0,56.98,290.3,65.23,28.98,58.08,71.243,364,0,1,-0.01,-0.32299999999999995,-0.493,-0.008,0.187,763584.0
Jamie Lovemark,92.0,56.92,303.2,64.65,28.64,61.07,70.734,576,0,3,0.01,0.388,-0.101,-0.04,0.519,1377286.0
Peter Malnati,87.0,56.86,290.9,62.99,28.07,61.3,70.84100000000002,226,0,0,0.619,0.244,-0.3720000000000001,-0.257,0.255,420001.0
Brooks Koepka,64.0,56.85,313.4,68.28,28.76,63.28,69.444,2012,2,5,0.168,1.22,0.6579999999999999,0.232,0.162,7094047.0
Sung Kang,89.0,56.72,293.1,63.2,29.24,52.4,71.954,480,0,2,-0.235,-1.041,-0.488,-0.094,-0.225,1243309.0
Scott Stallings,96.0,56.57,299.7,65.62,29.14,60.86,70.719,470,0,2,-0.07,0.27,-0.008,0.373,-0.025,1147573.0
Shawn Stefani,76.0,56.52,299.6,67.49,29.27,58.43,71.192,268,0,1,-0.034,0.107,-0.093,0.22,0.013,523204.0
Robert Garrigus,80.0,56.37,307.9,65.28,29.2,56.84,71.457,353,0,1,-0.569,-0.213,0.21,0.331,-0.18600000000000005,702030.0
Nick Watney,94.0,56.33,307.5,67.96,29.26,55.68,70.862,491,0,1,0.2,0.343,0.17,0.141,-0.16699999999999998,1402833.0
Rob Oppenheim,74.0,56.26,285.2,64.05,28.91,59.55,71.532,148,0,0,0.045,-0.542,-0.662,0.026,0.05,279019.0
Grayson Murray,72.0,56.0,307.3,62.5,28.94,54.32,72.09100000000002,438,0,2,-0.35,-0.336,0.375,-0.34700000000000003,-0.015,1056628.0
Rory McIlroy,64.0,55.79,319.7,66.3,28.46,62.97,69.303,1154,1,5,0.06,1.412,0.7609999999999999,0.269,0.322,4410296.0
Dominic Bozzelli,65.0,55.69,297.0,60.94,28.18,58.86,71.179,190,0,0,0.308,-0.055,-0.244,-0.252,0.133,391634.0
Patton Kizzire,92.0,55.59,298.7,69.04,29.53,55.24,70.84100000000002,1386,2,4,0.03,-0.033,-0.294,0.381,-0.15,3541151.0
Matt Every,79.0,55.5,294.2,64.59,29.24,52.51,72.044,113,0,1,-0.364,-1.139,-0.4370000000000001,-0.024,-0.314,299162.0
Cody Gribble,71.0,55.45,301.0,62.48,28.88,53.3,72.112,141,0,0,0.201,-0.8190000000000001,-0.212,-0.696,-0.111,302593.0
Wesley Bryan,69.0,55.41,280.4,61.28,28.1,60.17,71.55199999999998,219,0,0,0.36,-0.454,-1.443,0.222,0.407,498166.0
Lanto Griffin,80.0,55.27,302.5,67.42,29.42,55.76,71.145,175,0,0,-0.096,-0.268,-0.046,-0.043,-0.084,358380.0
Retief Goosen,60.0,55.22,296.2,61.75,29.12,56.98,71.40899999999998,261,0,1,-0.411,-0.4970000000000001,-0.392,0.389,-0.083,545364.0
Seamus Power,86.0,55.19,302.6,65.17,28.68,63.8,70.869,377,0,2,0.498,0.17800000000000002,0.076,-0.392,-0.003,791018.0
Charl Schwartzel,65.0,55.19,299.5,61.11,28.74,57.88,71.34899999999998,528,0,3,0.081,-0.195,-0.035,-0.168,-0.073,1710179.0
Patrick Reed,94.0,55.11,298.1,63.57,28.33,62.94,70.10600000000001,1555,1,7,0.16399999999999998,0.947,0.051,0.187,0.545,5006267.0
Tony Finau,105.0,55.09,315.1,70.18,29.03,57.22,69.52,1509,0,8,0.232,1.435,0.481,0.5,0.222,5620138.0
Trey Mullinax,75.0,54.94,318.3,65.38,29.13,54.42,70.815,528,0,3,0.07200000000000001,-0.07200000000000001,0.506,-0.442,-0.207,1184245.0
Martin Flores,92.0,54.92,300.0,66.34,29.36,54.89,71.458,215,0,0,-0.289,-0.5670000000000001,-0.097,-0.083,-0.098,449266.0
Michael Kim,74.0,54.89,289.9,60.63,28.54,56.05,71.66199999999998,675,1,1,0.259,-1.003,-1.023,-0.213,-0.027000000000000003,1379736.0
Brandon Harkins,101.0,54.79,303.1,65.67,28.86,55.88,70.721,528,0,3,0.225,0.275,0.181,-0.006,-0.124,1148115.0
Zecheng Dou,53.0,54.76,291.9,63.72,30.0,51.56,72.773,21,0,0,-0.667,-1.198,-0.079,-0.265,-0.187,90993.0
Tom Lovelady,87.0,54.73,315.9,67.08,29.56,52.08,71.252,332,0,2,-0.049,-0.19,0.379,-0.24,-0.279,700783.0
Daniel Summerhays,51.0,54.69,287.1,56.79,27.82,54.86,73.17699999999998,89,0,1,0.736,-2.105,-0.977,-1.586,-0.277,234510.0
Luke List,98.0,54.66,314.6,68.36,29.45,58.41,70.229,1080,0,5,-0.467,0.87,0.795,0.194,0.349,2710736.0
Robert Streb,78.0,54.11,292.6,64.94,29.51,52.89,71.905,155,0,1,-0.081,-0.581,-0.68,0.096,0.084,411606.0
Andrew Yun,51.0,53.58,290.6,61.85,30.2,44.01,73.624,16,0,0,-0.6,-1.936,-0.457,-0.447,-0.4320000000000001,41566.0
Jimmy Walker,81.0,53.49,299.0,61.9,28.34,59.09,70.786,719,0,4,0.324,0.35700000000000004,-0.4370000000000001,0.304,0.166,2027312.0
Aaron Baddeley,84.0,53.27,295.3,63.39,28.85,61.09,70.85,342,0,1,-0.057,0.309,-0.345,0.117,0.595,725928.0
Derek Fathauer,84.0,53.27,289.1,60.35,28.46,54.99,71.827,316,0,1,0.363,-0.807,-0.757,-0.365,-0.048,708712.0
Peter Uihlein,83.0,52.93,302.2,67.88,29.41,57.87,70.578,593,0,4,0.021,0.268,0.132,-0.04,0.156,1797715.0
