Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Steve Lowery,67.0,61.9,286.2,65.52,30.03,50.38,72.202,67,0,0,-0.386,-1.177,0.122,-0.31,-0.607,118602.0
Jerod Turner,54.0,61.66,279.0,58.94,29.0,50.88,72.602,57,0,0,-0.002,-1.885,-0.35100000000000003,-1.179,-0.353,91343.0
Camilo Villegas,78.0,61.66,289.6,66.05,29.43,57.5,70.425,1213,1,6,-0.396,0.691,0.21,0.755,0.122,3035523.0
Charley Hoffman,85.0,61.59,298.2,66.53,28.73,60.6,70.25399999999999,546,0,3,0.104,0.995,0.638,0.317,-0.065,2559646.0
Jonathan Byrd,85.0,61.54,290.9,70.0,29.54,61.66,70.437,415,0,2,0.029,0.524,0.091,0.046,0.354,1534981.0
Greg Owen,69.0,61.46,291.4,69.0,30.1,52.73,71.77,184,0,0,-0.6409999999999999,-0.745,0.2,-0.103,-0.205,268835.0
Andrew McLardy,52.0,61.43,289.9,65.97,29.69,53.4,72.217,23,0,0,-0.172,-1.005,0.079,-0.536,-0.375,53106.0
Bob Estes,79.0,61.41,283.9,67.79,29.59,60.48,71.086,432,0,2,0.014,-0.048,-0.33,0.14300000000000002,0.123,701158.0
D.J. Trahan,92.0,61.4,301.1,71.26,30.02,54.83,70.661,577,0,5,-0.467,0.494,0.6920000000000001,0.45,-0.179,1619693.0
Paul Casey,64.0,61.31,294.2,68.68,29.07,60.86,69.72,992,0,5,0.812,1.411,0.215,0.483,-0.111,3613194.0
Nathan Green,86.0,61.0,279.5,63.18,28.94,60.18,71.421,414,0,1,0.339,-0.254,-0.5660000000000001,-0.192,0.16699999999999998,636180.0
Jeev Milkha Singh,59.0,60.94,287.3,65.28,29.08,63.69,70.631,253,0,1,-0.045,0.118,-0.092,-0.139,0.396,420245.0
Bill Lunde,79.0,60.71,288.9,65.85,29.77,57.48,71.688,449,1,3,-0.012,-0.466,-0.265,-0.263,0.068,1075874.0
Garth Mulroy,53.0,60.7,295.6,70.07,30.18,53.41,72.0,160,0,1,-0.586,-0.436,0.124,0.17800000000000002,-0.154,287118.0
Ted Purdy,86.0,60.61,290.8,63.96,29.61,52.44,71.824,244,0,0,-0.114,-0.892,-0.124,-0.405,-0.256,307677.0
Webb Simpson,98.0,60.47,285.4,66.16,28.73,59.46,70.683,478,0,1,0.37,0.16899999999999998,-0.308,-0.046,0.153,972962.0
Michael Bradley,77.0,60.37,281.5,68.65,29.62,59.47,71.498,306,0,0,-0.084,-0.392,-0.6759999999999999,0.219,0.147,360845.0
Troy Matteson,84.0,60.36,296.3,71.43,30.44,55.79,71.31,425,0,2,-0.445,-0.157,0.515,0.042,-0.269,736060.0
Rory Sabbatini,79.0,60.28,289.1,66.74,29.36,56.48,71.366,618,0,2,-0.202,0.16,0.3,-0.218,0.276,1546808.0
Chad Collins,87.0,60.27,275.8,63.29,28.28,64.37,70.59899999999998,512,0,3,0.626,0.14300000000000002,-0.66,-0.116,0.293,815961.0
Martin Laird,91.0,60.27,296.5,67.83,29.68,57.31,71.158,477,0,2,-0.304,0.145,0.354,0.14300000000000002,-0.049,2137928.0
Brett Quigley,96.0,60.26,283.2,70.12,29.94,57.93,71.082,336,0,1,0.078,0.065,-0.422,0.425,-0.016,497296.0
Ernie Els,72.0,60.16,288.4,67.86,28.99,61.23,69.843,1846,2,6,0.33,1.3219999999999998,0.215,0.735,0.043,4558861.0
Roland Thatcher,72.0,60.04,288.0,65.9,29.69,57.24,71.82,142,0,1,-0.384,-0.7879999999999999,-0.061,-0.095,-0.253,796157.0
Chris Wilson,65.0,59.93,291.7,63.28,29.56,53.85,72.682,58,0,0,-0.6679999999999999,-1.631,-0.112,-0.629,-0.221,76481.0
Lee Janzen,77.0,59.91,287.7,67.68,29.38,57.81,71.194,280,0,1,-0.302,-0.199,-0.177,0.192,0.086,603195.0
Greg Chalmers,93.0,59.8,275.5,66.01,28.53,64.32,70.732,558,0,2,0.772,0.354,-0.555,0.06,0.07,989415.0
Stuart Appleby,101.0,59.75,289.0,61.84,28.89,58.82,70.954,957,1,3,-0.056,0.13,-0.236,0.077,0.348,1965825.0
Brad Faxon,58.0,59.47,271.4,59.05,29.02,47.49,73.116,39,0,0,0.426,-2.093,-1.3430000000000002,-0.622,-0.5529999999999999,55482.0
Troy Merritt,86.0,59.37,288.2,65.48,28.96,54.98,71.486,331,0,1,0.512,-0.4370000000000001,-0.177,-0.45,-0.326,786977.0
Joe Ogilvie,99.0,59.32,285.9,66.07,29.23,56.69,71.296,454,0,1,0.096,-0.249,-0.005,-0.19,-0.142,641797.0
Cameron Percy,73.0,58.93,294.0,70.42,30.13,56.91,71.622,206,0,0,-0.491,-0.236,-0.128,0.589,-0.206,620262.0
Cameron Tringale,55.0,58.71,294.5,70.18,30.45,53.23,71.598,107,0,0,-0.711,-0.465,0.131,-0.055,0.16699999999999998,302618.0
Alex Prugh,88.0,58.4,295.7,68.6,29.47,55.35,70.878,526,0,3,0.202,0.092,0.39,-0.304,-0.197,1272606.0
Ricky Barnes,103.0,58.37,285.5,68.23,29.32,59.59,70.47,947,0,6,0.021,0.604,-0.244,0.675,0.149,1835195.0
Marc Leishman,87.0,58.37,295.0,66.67,29.44,56.9,70.76899999999998,738,0,2,-0.146,0.418,0.07400000000000001,0.417,0.07200000000000001,1488837.0
Geoff Ogilvy,62.0,57.94,287.0,67.69,29.22,56.16,70.764,815,1,1,0.37,0.735,-0.165,0.488,0.041,2393045.0
Brett Wetterich,54.0,57.82,307.3,68.11,29.8,58.71,70.847,248,0,0,-0.126,0.107,0.415,0.106,-0.29100000000000004,510672.0
Jason Day,82.0,57.78,298.2,67.68,29.15,60.38,70.274,988,1,3,-0.009000000000000001,0.738,0.254,0.054000000000000006,0.444,2904327.0
Ryan Palmer,84.0,57.23,295.8,65.48,28.77,55.56,70.824,1071,1,3,0.433,0.294,0.175,0.01,-0.324,2985296.0
Matt Bettencourt,91.0,57.16,294.0,60.17,28.46,57.98,71.575,472,1,1,0.368,-0.487,0.08900000000000001,-0.831,-0.111,855901.0
David Duval,71.0,57.08,286.9,66.1,29.48,52.26,71.688,404,0,1,0.12,-0.278,-0.354,0.202,-0.245,919584.0
Matt Jones,89.0,57.07,293.3,65.29,28.65,60.61,70.605,647,0,5,0.509,0.495,-0.122,-0.219,0.321,1215743.0
James Driscoll,78.0,56.96,293.9,66.81,29.31,58.15,70.954,340,0,1,0.315,0.056,-0.014,-0.26,0.019,500625.0
Padraig Harrington,57.0,56.7,292.1,61.9,28.3,61.2,70.17399999999999,662,0,5,0.267,1.063,-0.104,0.524,0.379,1381453.0
Aaron Baddeley,94.0,56.65,298.9,64.6,28.57,57.1,70.995,481,0,1,0.509,0.208,0.112,-0.797,0.391,879317.0
David Lutterus,69.0,56.61,291.9,64.29,29.86,54.81,72.17,103,0,0,-0.33,-1.044,-0.368,-0.439,0.1,123170.0
Dustin Johnson,83.0,56.35,308.5,67.95,29.37,55.81,70.135,1362,1,5,0.112,0.979,0.76,0.28800000000000003,-0.179,4473122.0
Scott Piercy,88.0,56.03,296.8,67.74,29.11,54.79,71.196,380,0,2,0.215,-0.004,-0.013,-0.065,-0.142,676432.0
Vance Veazey,58.0,55.88,284.3,62.71,29.58,50.72,72.32300000000002,73,0,0,-0.109,-1.444,-1.117,-0.084,-0.128,111370.0
