"Name","Frequency"
"AUGUST",31
"BEN",31
"DEREK",31
"DOMINIK",31
"FREDERICK",31
"KNOX",31
"LANDEN",31
"PRINCE",31
"ZAYD",31
"AARYAN",30
"ABDUL",30
"ALVIN",30
"CRUZ",30
"FRANCIS",30
"JONAS",30
"JULIEN",30
"NIKOLA",30
"ROCCO",30
"TREVOR",30
"ZAYDEN",30
"DAMON",29
"FINNLEY",29
"HUSSAIN",29
"KYRIE",29
"MASSIMO",29
"NIKO",29
"ALEC",28
"CASEY",28
"DAVIS",28
"FRANK",28
"GIANLUCA",28
"GRAHAM",28
"KING",28
"LENNON",28
"MAXIME",28
"MITCHELL",28
"RONIN",28
"ANGELO",27
"ATLAS",27
"BILAL",27
"COLBY",27
"JAMIE",27
"OTIS",27
"SKYLER",27
"ANDERSON",26
"ANDY",26
"AYAN",26
"BROOKS",26
"CORBIN",26
"DAX",26
"FOX",26
"ILYAS",26
"JEFFREY",26
"KOHEN",26
"QUENTIN",26
"TOBY",26
"ZAID",26
"ALBERT",25
"ALESSIO",25
"ARHAM",25
"BARRETT",25
"BRANTLEY",25
"DARREN",25
"EESA",25
"GRANT",25
"KELLAN",25
"KOLTON",25
"MAGNUS",25
"MALAKAI",25
"MARKO",25
"MATIAS",25
"ROMEO",25
"WALTER",25
"ZAKARIYA",25
"BRODIE",24
"DEXTER",24
"DUNCAN",24
"EMILIO",24
"EWAN",24
"HARRY",24
"HASAN",24
"JENSEN",24
"KARTER",24
"ORION",24
"PAXTON",24
"SCOTT",24
"YOUSUF",24
"ALAN",23
"AMARI",23
"CRISTIAN",23
"CULLEN",23
"CURTIS",23
"GRADY",23
"JAD",23
"JOHNNY",23
"KRISH",23
"NIKOLAI",23
"REMY",23
"STERLING",23
"TAYLOR",23
"ZAYNE",23
"ACE",22
"ALLEN",22
"ANSON",22
"ARMAN",22
"CRISTIANO",22
"DOMENIC",22
"DONOVAN",22
"JOEY",22
"JULIUS",22
"KILLIAN",22
"LÉO",22
"MIKAEL",22
"OAKLEY",22
"TIAGO",22
"ZACK",22
"EDEN",21
"GIDEON",21
"HADI",21
"KEENAN",21
"KHALID",21
"LEONIDAS",21
"MAKSIM",21
"MARCEL",21
"MATHIAS",21
"MATTHIAS",21
"ROBIN",21
"SAHIB",21
"SAMI",21
"TITUS",21
"WESTLEY",21
"ABBAS",20
"AMMAR",20
"ANGAD",20
"ANTOINE",20
"ANTON",20
"ARVIN",20
"ASHWIN",20
"BABY",20
"BECKHAM",20
"CASSIUS",20
"CEDRIC",20
"DUSTIN",20
"ISHAAN",20
"ISRAEL",20
"JOHAN",20
"KHALIL",20
"KYLER",20
"LANDYN",20
"LINDEN",20
"MAHDI",20
"MEMPHIS",20
"REECE",20
"REUBEN",20
"ROWEN",20
"RYLAND",20
"SOREN",20
"WADE",20
"YOUSSEF",20
"YUVRAJ",20
"ZAVIER",20
"AAYAN",19
"ABRAM",19
"BRENNAN",19
"BRETT",19
"COLLIN",19
"DREW",19
"FATEH",19
"GARRETT",19
"HANK",19
"HUXLEY",19
"JAY",19
"JETT",19
"KADE",19
"KIAAN",19
"LAWRENCE",19
"LEANDRO",19
"LEONARD",19
"MARC",19
"MIKHAIL",19
"MOHAMAD",19
"PIERCE",19
"QUINTIN",19
"ROY",19
"THÉO",19
"VINCENZO",19
"WALI",19
"ZACKARY",19
"ANDREI",18
"APOLLO",18
"AVEER",18
"BRADEN",18
"CALLAN",18
"CARL",18
"CARLOS",18
"CONNER",18
"DEVIN",18
"DOMINICK",18
"EASON",18
"HAIDER",18
"HUSSEIN",18
"ISA",18
"JARED",18
"JUAN",18
"KABIR",18
"KOBE",18
"MADDEN",18
"MATHIS",18
"RAPHAËL",18
"RAYAAN",18
"RHETT",18
"ROYCE",18
"TAHA",18
"VIVAAN",18
"ZACHARIAH",18
"ZAYAN",18
"AARIZ",17
"ADRIEN",17
"AGAM",17
"ALDEN",17
"BRENDAN",17
"COEN",17
"DARIO",17
"DENVER",17
"DIEGO",17
"DIMITRI",17
"EMMITT",17
"FLETCHER",17
"HENRIK",17
"LUCIANO",17
"RIAAN",17
"SAMSON",17
"TATUM",17
"VAN",17
"AMEER",16
"ANAS",16
"AUSTON",16
"COLT",16
"DAKOTA",16
"DALTON",16
"ÉMILE",16
"FINNIGAN",16
"FLYNN",16
"FRANCESCO",16
"HARLEY",16
"IDRIS",16
"IMRAN",16
"ISAAK",16
"ISSA",16
"ISSAC",16
"JOVAN",16
"KAMERON",16
"KASH",16
"KAYSON",16
"KEITH",16
"KENDRICK",16
"MANRAJ",16
"ROLAND",16
"TATE",16
"TOMMY",16
"TRENT",16
"VEER",16
"WALLACE",16
"WAYLON",16
"ABDULAZIZ",15
"ADRIEL",15
"AJAY",15
"AYOUB",15
"CARMELO",15
"DAVIN",15
"DENNIS",15
"DHRUV",15
"DOMENICO",15
"EMERY",15
"EMMET",15
"FARIS",15
"KYSON",15
"LOÏC",15
"LOUIE",15
"LUIS",15
"MATHEW",15
"NATHANAEL",15
"NIAM",15
"OSKAR",15
"PEYTON",15
"PRINCETON",15
"REYANSH",15
"SAIF",15
"SHEA",15
"SOLOMON",15
"STANLEY",15
"STEFANO",15
"WARREN",15
"ALISTAIR",14
"ARIAN",14
"ARMIN",14
"AUGUSTUS",14
"BRONSON",14
"CALLEN",14
"CHANCE",14
"CIAN",14
"COLTEN",14
"CONRAD",14
"DEV",14
"DEVON",14
"DONALD",14
"GIBSON",14
"GREGORY",14
"ISMAIL",14
"JAYSON",14
"JEEVAN",14
"JOAQUIN",14
"KAEDEN",14
"KARIM",14
"KOEN",14
"KRISTIAN",14
"LAITH",14
"LEIF",14
"LEVON",14
"MAKAI",14
"MARCELLO",14
"MAREK",14
"MARVIN",14
"MOSES",14
"RAY",14
"REIGN",14
"TENZIN",14
"TERRENCE",14
"TRENTON",14
"TY",14
"USMAN",14
"VAUGHN",14
"VINCE",14
"YOUSIF",14
"AARUSH",13
"ADEN",13
"ALEJANDRO",13
"ALEKSANDAR",13
"ALEXIS",13
"ALFRED",13
"ANDREAS",13
"ANGEL",13
"ANGUS",13
"ARTIN",13
"AUSTEN",13
"AZAAN",13
"BRAYDON",13
"CAIDEN",13
"CAIRO",13
"CASH",13
"CAYSON",13
"CHRIS",13
"DARIAN",13
"DOUGLAS",13
"FINLAY",13
"FORREST",13
"GUNNAR",13
"IBRAHEEM",13
"JAKUB",13
"JOSE",13
"JUSTICE",13
"JUSTUS",13
"KARL",13
"LELAND",13
"LEV",13
"LIONEL",13
"MACKENZIE",13
"MAXTON",13
"MIKAIL",13
"NATE",13
"PORTER",13
"QASIM",13
"REESE",13
"RIAN",13
"RICKY",13
"SAAD",13
"SEBASTIEN",13
"SHAAN",13
"SUBHAN",13
"THIAGO",13
"WILLEM",13
"WILSON",13
"ZAKARIA",13
"ADVIK",12
"AFFAN",12
"ALEKSANDER",12
"ALLAN",12
"ANDRÉ",12
"ANSH",12
"ARES",12
"ARIS",12
"ARSH",12
"BOSTON",12
"CAIN",12
"CILLIAN",12
"COREY",12
"CORMAC",12
"ELYAS",12
"ENOCH",12
"EUGENE",12
"GRAYDON",12
"GUNNER",12
"GURFATEH",12
"JAMAL",12
"JAVIER",12
"JAYLEN",12
"JENSON",12
"JERRY",12
"KASEN",12
"KURTIS",12
"MARIO",12
"MAXIMILIANO",12
"MERRICK",12
"NIGEL",12
"NIKHIL",12
"NOEL",12
"RAYDEN",12
"REMI",12
"SALMAN",12
"SANTINO",12
"SHAYAN",12
"SHILOH",12
"SIDNEY",12
"SMITH",12
"THÉODORE",12
"UMAR",12
"URIAH",12
"VALENTINO",12
"VIRAJ",12
"YAZAN",12
"YUSEF",12
"ABDURRAHMAN",11
"ADITYA",11
"ADNAN",11
"AEDAN",11
"ALEK",11
"ANMOL",11
"AXL",11
"AZARIAH",11
"AZLAN",11
"BRYCEN",11
"CÉDRIC",11
"CLYDE",11
"CORNELIUS",11
"DANIYAL",11
"DILLON",11
"DUKE",11
"EDDIE",11
"ELVIS",11
"FAISAL",11
"FILIP",11
"HARIS",11
"HARRIS",11
"HENDRIK",11
"HENRI",11
"JACKY",11
"JAGGER",11
"JAI",11
"JAXTON",11
"JEROME",11
"KRISHNA",11
"KYE",11
"LANE",11
"LEGEND",11
"LONDON",11
"LUCIAN",11
"LUCIEN",11
"MALEK",11
"MICHEAL",11
"MUHAMMED",11
"NEHEMIAH",11
"NIHAL",11
"OMER",11
"ORSON",11
"RYERSON",11
"RYLEY",11
"SAHIL",11
"SKYLAR",11
"SONNY",11
"TITAN",11
"TOMAS",11
"TONY",11
"WARIS",11
"WILL",11
"YASIN",11
"YASSIN",11
"ZORAWAR",11
"ABDALLAH",10
"AMOS",10
"ANDRES",10
"AREN",10
"BENEDICT",10
"BO",10
"BODIE",10
"BRUNO",10
"CADE",10
"CALUM",10
"DARWIN",10
"DORIAN",10
"EAMON",10
"EKAM",10
"ELIOT",10
"EYAD",10
"FOSTER",10
"GERALD",10
"GIACOMO",10
"GIUSEPPE",10
"GRAYSEN",10
"HASHIM",10
"JAIRUS",10
"JALEN",10
"JAXEN",10
"JAYDON",10
"JEDIDIAH",10
"JET",10
"JETHRO",10
"KASON",10
"KAVIN",10
"KAYSEN",10
"KHALED",10
"KOHL",10
"LINKIN",10
"LUCCA",10
"MAHMOUD",10
"NELSON",10
"ORLANDO",10
"QUINCY",10
"RANVEER",10
"RAYLAN",10
"RIO",10
"RISHAAN",10
"RONALD",10
"SALVATORE",10
"SÉBASTIEN",10
"SHAUN",10
"SULAIMAN",10
"SULTAN",10
"VARUN",10
"VIAAN",10
"VIKTOR",10
"VLADIMIR",10
"YASIR",10
"YUNUS",10
"ZAIDEN",10
"ZECHARIAH",10
"AAHIL",9
"ABDULRAHMAN",9
"ADIL",9
"AKASH",9
"AKSHAYAN",9
"ANISH",9
"ANWAR",9
"ARIYAN",9
"ARJAN",9
"ARON",9
"ATHARV",9
"AVI",9
"AVIRAJ",9
"AXTON",9
"AYMAN",9
"BRAEDEN",9
"BRENT",9
"CHACE",9
"CHARBEL",9
"COLSON",9
"CORY",9
"DANE",9
"DARIEN",9
"DAWOOD",9
"EDMUND",9
"EMILE",9
"FELIPE",9
"GIANCARLO",9
"GUS",9
"HAMZAH",9
"HAROON",9
"HEATH",9
"HIMMAT",9
"ISIAH",9
"JAIVEER",9
"JAWAD",9
"JIMMY",9
"JOSH",9
"JUNIOR",9
"KARAM",9
"KODY",9
"LANCE",9
"LARRY",9
"LEE",9
"LEROY",9
"LINUS",9
"MAAZ",9
"MANUEL",9
"MATEUS",9
"MATHIEU",9
"MAXX",9
"MAZEN",9
"MEHTAB",9
"NASIR",9
"NEEL",9
"NEVIN",9
"NICK",9
"NYLE",9
"OMARI",9
"PHILIPPE",9
"REGINALD",9
"REILLY",9
"ROGER",9
"SAI",9
"TEJAS",9
"TOBIN",9
"TREY",9
"WILLY",9
"YANNICK",9
"ZEV",9
"ACHILLES",8
"ALSTON",8
"ARAD",8
"ARAN",8
"ARCHIE",8
"ARMANDO",8
"AVRAJ",8
"BAILEY",8
"BLAIR",8
"BRENDEN",8
"BYRON",8
"CALLAHAN",8
"CAMILO",8
"CHEVY",8
"CLARKE",8
"DILAN",8
"DRAVEN",8
"EDGAR",8
"EMANUEL",8
"EMIR",8
"ESA",8
"EVANDER",8
"EVEREST",8
"FAHAD",8
"FERNANDO",8
"FINDLAY",8
"FINNIAN",8
"FYNN",8
"GIAN",8
"GURMAN",8
"GURSHAN",8
"HANS",8
"HAROLD",8
"HASHIR",8
"IRA",8
"IVAAN",8
"JADON",8
"JAMIESON",8
"JEAN",8
"JOAQUIM",8
"JULES",8
"KEON",8
